title,author,publisher,grade_specific,grade_category,source,publication_date,isbn,translator
母親的金手錶(增訂新版),作者：琦君,九歌 ,六上,高,喜閱網,2012-04-01,9789862721001,
怪咖老師的神祕時間,"作者：徐國能\n繪者：葉長青",聯經,六下,高,喜閱網,2022-09-01,9789570864885,
鈔能戰士1：數字13的秘密,"作者：嚴淑女\n繪者：黃柏樺",聚光文創,六下,高,喜閱網,2021-11-15,9789860670943,
戰爭與我們的距離,作者：《少年報導者》 ,商周出版 ,六下,高,喜閱網,2023/08/31,9786263187788,
瞎掰舊貨攤1：斷尾虎爺,作者：鄭宗弦,親子天下,六下,高,喜閱網,2022/02/25,9786263051324,
暗號偵探社,"作者：郭瀞婷\n繪者：鰻魚蛋",小兵,六下,高,喜閱網,2018/02/27,9789869614252,
長生石的守護者,作者：陳郁如,小麥田,六下,高,喜閱網,2022/01/06,9786267000250,
"只是開玩笑，竟然變被告？：\n中小學生最需要的24堂法律自保課","作者：吉靜如\n繪者：茜Cian",三采,六下,高,喜閱網,2020/07/17,9789576583896,
小大人的公衛素養課：流行病學×預防醫學,"作者：陳建仁，胡妙芬\n繪者：Hui",親子天下,六下,高,喜閱網,2021/09/30,9786263050815,
吃的台灣史,作者：翁佳音，曹銘宗,貓頭鷹書房,六下,高,喜閱網,2021/10/09,9789862625125,
畢業那一年：石縫裡的信,作者：蔡宜容                                       繪者：法蘭克,小兵,六下,高,喜閱網,2015/02/05,9789865641030,
江湖，還有人嗎？,"作者：張友漁\n繪者：林一先",遠流,六下,高,喜閱網,2019-06-27,9789573285861,
有人在鹿港搞鬼,"作者：鄭宗弦\n繪者：黃聖華",四也,六下,高,喜閱網,2017-09-01,9789869512305,
我變成一隻噴火龍了！,作者：賴馬\n繪者：賴馬,親子天下,,低,布可星球,2016-01-26,9789869261456,
雲上的阿里,作者：城井文\n繪者：城井文,親子天下,,低,布可星球,2017-03-17,9789869421522,陳瀅如
命運書,作者：艾希克．班提\n繪者：瑪汀．布何,三之三,,低,布可星球,2010-07-01,9789867295682,徐素霞
一個愛建築的男孩,作者：安德麗雅．碧蒂\n繪者：大衛．羅柏茲,三之三,,低,布可星球,2009-10-01,9789867295583,林良
媽媽真的不知道嗎？,作者：李春英\n繪者：尹智會,格林文化,,低,布可星球,2010-07-29,9789861892306,張琪惠
小火龍,作者：安．爾伯\n繪者：安．爾伯,格林文化,,低,布可星球,2002-05-01,9789577454942,郝廣才
你看起來好像很好吃,作者：宮西達也\n繪者：宮西達也,三之三,,低,布可星球,2004-06-01,9789867586186,鄭明進
好餓的毛毛蟲,作者：艾瑞．卡爾\n繪者：艾瑞．卡爾,上誼文化,,低,布可星球,2008-05-01,9789577620941,鄭明進
子兒，吐吐,作者：李瑾倫\n繪者：李瑾倫,信誼基金,,低,布可星球,2003-05-01,9789576427015,
小圖畫書,作者：阿蘭．賽爾\n繪者：馬丁．傑曼,格林文化,,低,布可星球,2009-03-27,9789861891156,徐素霞
用點心學校,"作者：林哲璋\n繪者：BO2",親子天下,,高,布可星球,2016-06-30,9789869261470,
